[2017-07-17 10:56:36.606] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:56:48.614] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:57:00.624] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:57:12.633] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:57:24.645] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:57:36.657] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:57:48.664] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:58:00.675] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:58:12.677] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:58:24.688] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:58:36.702] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:58:48.710] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:59:00.714] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:59:12.726] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:59:24.737] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:59:36.750] [INFO] normal - Currently, connection number is: 2
[2017-07-17 10:59:48.764] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:00:00.767] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:00:12.778] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:00:24.790] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:00:36.803] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:00:48.813] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:01:00.819] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:01:12.827] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:01:24.830] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:01:36.834] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:01:48.844] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:02:00.855] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:02:12.867] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:02:24.873] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:02:36.879] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:02:48.880] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:03:00.893] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:03:12.904] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:03:24.916] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:03:36.923] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:03:48.935] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:04:00.947] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:04:12.959] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:04:24.967] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:04:36.977] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:04:48.989] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:05:00.999] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:05:13.005] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:05:25.017] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:05:37.021] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:05:49.027] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:06:01.036] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:06:13.042] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:06:25.044] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:06:37.055] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:06:49.067] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:07:01.072] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:07:13.076] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:07:25.088] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:07:37.091] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:07:49.102] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:08:01.115] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:08:13.119] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:08:25.127] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:08:37.134] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:08:49.142] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:09:01.155] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:09:13.167] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:09:25.168] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:09:37.172] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:09:49.176] [INFO] normal - Currently, connection number is: 2
[2017-07-17 11:10:01.188] [INFO] normal - Currently, connection number is: 2
